"learner_id","country","region","job_role","industry","background","r_experience_level","week","study_hours","lessons_completed","confidence_score","pre_assessment_score","project_score","completion_status","first_script_completed","used_rstudio","used_quarto","used_git","used_renv","preferred_learning_mode","monthly_income_band","manager_support","payment_probability_score","high_project_score","score_gap","study_band"
"L0002","Australia","South America","Engineer","Government","Spreadsheet","Beginner",7,5.7,6,49,24,89.85,"In Progress",FALSE,FALSE,FALSE,FALSE,TRUE,"Instructor-Led","Low",FALSE,15.9,TRUE,65.85,"Moderate study time"
"L0003","Germany","Asia","Analyst","Tech","Spreadsheet","Beginner",9,8.4,8,55,25,86.2,"Completed",FALSE,TRUE,TRUE,FALSE,FALSE,"Hybrid","High",FALSE,21.8,TRUE,61.2,"High study time"
"L0004","India","Oceania","Manager","Government","Ms Excel","Beginner",5,8.9,26,68,33,85.45,"Completed",TRUE,FALSE,TRUE,FALSE,FALSE,"Instructor-Led","Upper-Middle",TRUE,9.7,TRUE,52.45,"High study time"
"L0005","Indonesia","North America","Student","Finance","Excel","Beginner",5,13.6,21,75,64,88.8,"Dropped",FALSE,TRUE,TRUE,TRUE,FALSE,"Self-Paced","High",FALSE,6.8,TRUE,24.8,"High study time"
"L0006","United States","Africa","Manager","Finance","Spreadsheet","Intermediate",9,16.6,34,59,31,98.3,"Dropped",FALSE,TRUE,FALSE,FALSE,TRUE,"Instructor-Led","Lower-Middle",FALSE,24.2,TRUE,67.3,"High study time"
"L0008","India","Asia","Student","Education","Ms Excel","Beginner",11,8.4,18,95,28,76.2,"In Progress",FALSE,FALSE,FALSE,TRUE,TRUE,"Self-Paced","Lower-Middle",TRUE,9.7,FALSE,48.2,"High study time"
"L0009","Japan","North America","Consultant","Healthcare","Spreadsheet","Intermediate",12,11.8,35,90,44,81.9,"Completed",FALSE,TRUE,FALSE,FALSE,TRUE,"Hybrid","Upper-Middle",FALSE,17.9,TRUE,37.9,"High study time"
"L0010","Germany","Asia","Consultant","Government","Ms Excel","Intermediate",11,10.6,36,98,75,93.3,"Dropped",FALSE,TRUE,FALSE,TRUE,FALSE,"Hybrid","Low",FALSE,21.8,TRUE,18.3,"High study time"
"L0011","Mexico","Asia","Clerk","Healthcare","Power Bi","Beginner",1,12.2,43,48,72,100,"Completed",FALSE,TRUE,FALSE,FALSE,TRUE,"Self-Paced","Lower-Middle",TRUE,7.6,TRUE,28,"High study time"
"L0012","Germany","Europe","Manager","Retail","Google Sheets","Intermediate",5,9.6,13,82,61,100,"Completed",TRUE,TRUE,FALSE,FALSE,TRUE,"Self-Paced","Low",TRUE,21.8,TRUE,39,"High study time"
