learner_id,learner_name,country,region,job_role,industry,background,excel_years,r_experience_level,enrolment_date,first_login_date,week,study_hours,lessons_completed,confidence_score,pre_assessment_score,project_score,first_script_completed,used_rstudio,used_quarto,used_git,used_renv,preferred_learning_mode,monthly_income_band,completion_status,manager_support,notes,payment_probability_score
L0001,Learner_001,norway,Europe,Student,Finance,power bi,6.3,Intermediate,13-11-2025,NA,4,12,39,68,56,NA,FALSE,0,1,0,1,Instructor-led,High, Completed ,Y,NA,22.1
L0002,Learner_002,Australia,South America,Engineer, Government ,spreadsheet,0.1,Beginner,02/18/2025,21-02-2025,7,5.7,6,49,24,89.85,No,N,No,FALSE,Yes,Instructor-led,Low,In Progress,No,Good progress,15.9
L0003,Learner_003,Germany,Asia,Analyst, Tech ,SpreadSheet,1.4,Beginner,27 Dec 2025,06-01-2026,9,8.4,8,55,25,86.2,No,1,Y,No,0,Hybrid,High, Completed ,FALSE,NA,21.8
L0004,Learner_004, INDIA ,Oceania, Manager ,Government,MS Excel,5.1,Beginner,2025-02-01,02/02/2025,5,8.9,26,68,33,85.45,TRUE,N,1,FALSE,N,Instructor-led,Upper-Middle, Completed ,Y,NA,9.7
L0005,Learner_005,indonesia,North America, Student , Finance ,excel,4.7,Beginner,05-05-2025,05/09/2025,5,13.6,21,75,64,88.8,0,1,1,TRUE,0,Self-paced,High,Dropped,0,Needs support,6.8
L0006,Learner_006,united states,Africa,Manager,Finance,spreadsheet,5.2,Intermediate,07 Feb 2025,NA,9,16.6,34,59,31,98.3,No,Y,No,FALSE,1,Instructor-led,Lower-Middle,Dropped,0,NA,24.2
L0006,Learner_007,Japan,Africa,Manager,Retail, google sheets ,6.9,Intermediate,2025-06-12,18 Jun 2025,2,8.4,6,53,78,NA,1,0,Yes,No,Y,Self-paced,Lower-Middle,Completed,No,Fast learner,17.9
L0008,Learner_008,India,Asia,Student,Education,MS Excel,10,Beginner,2025-09-13,14-09-2025,11,8.4,18,95,28,76.2,No,FALSE,N,TRUE,1,Self-paced,Lower-Middle, In Progress ,1,Needs support,9.7
L0009,Learner_009,Japan,North America,Consultant,Healthcare,spreadsheet,9.5,Intermediate,16 Jun 2025,24-06-2025,12,11.8,35,90,44,81.9,N,Y,No,N,Y,Hybrid,Upper-Middle,Completed,No,Struggling,17.9
L0010,Learner_010, GERMANY ,Asia,Consultant, Government ,MS Excel,9.5,Intermediate,12 May 2025,12 May 2025,11,10.6,36,98,75,93.3,N,TRUE,FALSE,TRUE,N,Hybrid,Low,Dropped,N,Struggling,21.8
L0011,Learner_011,mexico,Asia,Clerk,Healthcare,Power BI,6.8,Beginner,16 Aug 2025,08/17/2025,1,12.2,43,48,72,100,FALSE,TRUE,No,N,1,Self-paced,Lower-Middle,Completed,Y,NA,7.6
L0012,Learner_012,Germany,Europe,Manager, Retail , Google Sheets ,7.4,Intermediate,06/22/2025,NA,5,9.6,13,82,61,100,Y,Yes,FALSE,N,1,Self-paced,Low,Completed,1,Needs support,21.8
L0013,Learner_013,CANADA,South America,Student,Finance,google sheets,9.6,Beginner,07 May 2025,16-05-2025,3,10,42,99,75,71,No,1,1,Y,1,Instructor-led,Lower-Middle,Paused,N,NA,17.2
L0014,Learner_014,SOUTH KOREA,Africa,Student,Finance,Google Sheets,2.1,Beginner,08/13/2025,NA,7,10,25,72,56,76,No,No,TRUE,N,1,Self-paced,Lower-Middle, Paused ,FALSE,Needs support,18.6
L0015,Learner_015,ireland,Oceania, Manager , Retail ,MS Excel,6.7,Advanced,17 Jun 2025,06/18/2025,12,11.4,22,89,70,100,Yes,Yes,FALSE,0,No,Self-paced,Lower-Middle,Dropped,0,Fast learner,25.8
L0016,Learner_016, INDIA ,Oceania,Clerk,Finance,Google Sheets,1,Beginner,02/28/2025,03/03/2025,12,12.1,28,95,50,98.05,Yes,FALSE,FALSE,N,No,Hybrid,High, Completed ,FALSE,NA,9.7
L0017,Learner_017,Denmark,South America,Student,Finance,Power BI,5,Advanced,23 Jun 2025,NA,8,14.6,25,61,34,99.3,N,N,TRUE,0,FALSE,Instructor-led,High,Completed,TRUE,Struggling,23.5
L0018,Learner_018,UNITED STATES,Asia,Clerk,Tech,Power BI,7.6,Intermediate,2025-02-06,NA,7,12.8,22,59,70,81.4,0,Y,0,Y,No,Self-paced,Upper-Middle,Completed,Y,Needs support,24.2
L0019,Learner_019,Norway,North America, Clerk , Government ,power bi,0.1,Beginner,15 Aug 2025,17 Aug 2025,12,13.7,24,52,20,73.85,Y,N,0,0,No,Instructor-led,High, In Progress ,Yes,NA,22.1
L0020,Learner_020,MEXICO,Oceania,Engineer,Finance,power bi,1.6,Beginner,23 Nov 2025,30 Nov 2025,11,8.2,14,69,69,65.1,FALSE,N,Y,FALSE,FALSE,Instructor-led,Lower-Middle,Dropped,FALSE,Good progress,7.6
L0021,Learner_021,india,Africa, Analyst ,Healthcare,google sheets,1.1,Beginner,09 Aug 2025,15-08-2025,4,11.7,34,89,70,100,Yes,No,FALSE,Yes,TRUE,Instructor-led,Low,Completed,TRUE,NA,9.7
L0022,Learner_022,Canada,South America,Consultant,Education, Excel ,8,Beginner,10-08-2025,2025-08-18,2,12.6,25,91,31,NA,N,0,TRUE,1,1,Self-paced,High,In Progress,0,Needs support,17.2
L0023,Learner_023, CHINA ,North America,Student,Tech, Power BI ,3.7,Beginner,2025-04-14,04/19/2025,12,7.2,14,95,43,NA,FALSE,FALSE,Yes,0,TRUE,Self-paced,Lower-Middle,Completed,0,Needs support,16.5
L0024,Learner_024,nigeria,Asia,Manager, Education ,google sheets,6.3,Beginner,11/29/2025,30-11-2025,7,9,17,73,21,88.5,N,FALSE,N,N,FALSE,Hybrid,Low, Completed ,FALSE,Good progress,4.1
L0025,Learner_025,china,Asia,Analyst, Finance ,Spreadsheet,7.6,Beginner,2025-12-08,12/14/2025,11,10,12,41,48,100,FALSE,0,Y,FALSE,Y,Hybrid,High,Completed,Yes,Good progress,16.5
L0026,Learner_026, canada ,Africa,Analyst,Healthcare,Manual Reporting,2.5,Beginner,18-03-2025,03/23/2025,3,12.1,18,59,27,75.05,0,FALSE,TRUE,1,1,Hybrid,Low,Completed,No,Good progress,17.2
L0027,Learner_027, japan ,Europe,Analyst,Tech,MS Excel,3.7,Advanced,27-02-2025,03/01/2025,6,3,28,98,47,66.5,FALSE,Yes,Y,TRUE,1,Instructor-led,Low, In Progress ,FALSE,Fast learner,17.9
L0028,Learner_028,south korea,Africa, Student , Education ,power bi,3.4,Beginner,06 Sep 2025,2025-09-07,9,17.3,35,NA,39,100,N,N,TRUE,Y,No,Hybrid,Low, Dropped ,FALSE,Fast learner,18.6
